

sqrt      Quadratwurzel
exp       Exponentialfunktion (e^ )
log       natürlicher Logarithmus
ln        --||--
log10     dekadischer Logarithmus
ceil      Aufrunden zur nächsten ganzen Zahl
floor     Abrunden zur nächsten ganzen Zahl
round     Runden zur nächsten ganzen Zahl
inv       Matrix invertieren
sum       Summe entlang der ersten Nicht-Singleton-Dimension
cumsum    kumulierte Summe
prod      Produkt entlang der ersten Nicht-Singleton-Dimension
cumprod   kumuliertes Produkt
min       Minimum
max       Maximum
mean      Mittelwert
median    Median
std       Standardabweichung
var       Varianz
size      Matrixdimensionen
length    groesste Matrixdimension
numel     Anzahl der Elemente
reshape   Matrix spaltenweise umformen
zeros     Nullmatrix erzeugen
ones      Einsmatrix erzeugen
eye       Einheitsmatrix erzeugen
diag      Diagonalmatrix oder Diagonalvektor
linspace  linear verteilte Werte erzeugen
logspace  logarithmisch verteilte Werte erzeugen
det       Determinante
trace     Spur einer Matrix
rank      Matrixrang
norm      Vektor- oder Matrixnorm
dot       Skalarprodukt
cross     Kreuzprodukt fuer 3-elementige Vektoren
eig       Eigenwerte
diff      Differenzen
gradient  numerischer Gradient
sort      Werte sortieren
unique    eindeutige Werte
trapz     Trapezintegration
unwrap    Phasenspruenge um 2*pi entfernen
sin       Sinusfunktion (mit Radiant)
cos       Cosinusfunktion (mit Radiant)
tan       Tangensfunktion (mit Radiant)
asin      Arcussinusfunktion (ergibt Radiant)
acos      Arcuscosinusfunktion (ergibt Radiant)
atan      Arcustangensfunktion (ergibt Radiant)
atan2     verbesserte Arcustangensfunktion (Gegenkathete, Ankathete)
abs       Betragsfunktion
real      Realteil einer komplexen Zahl
imag      Imaginaerteil einer komplexen Zahl
conj      komplex konjugierter Wert
angle     Phasenwinkel einer komplexen Zahl in Radiant
rad2deg   Umrechnung von Radiant auf Grad
getVersion gibt die scicalc-Version aus


setDigits         legt temporär die Anzahl signifikanter Stellen (1..15) fest
setTrailingZeros  schaltet abschließende Nullen in der Ausgabe ein (1) oder aus (0)
setAccounting     aktiviert (1) bzw. deaktiviert (0) den Accounting-Modus
